鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三峽區,房地(土地+建物)+車位,新北市三峽區愛國路,11.9,商,,,1150307,土地2建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.26,3,2,2,有,無,14380000,161323,升降平面,43.66,1700000,,RPSNMLNLLHLGFIF88CB,立信園立方,G棟7號,
新莊區,房地(土地+建物)+車位,新北市新莊區福美街62巷,25.1,住,,,1150307,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.16,3,2,2,有,無,28390000,223093,坡道平面,42.11,2500000,,RPPNMLOLLHLGFBF97CB,福美富琚,G棟7F號,
新莊區,房地(土地+建物)+車位,新北市新莊區福美街62巷,19.42,住,,,1150308,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.85,2,2,2,有,無,23700000,237352,坡道平面,42.11,2400000,,RPRNMLOLLHLGFBF18CB,福美富琚,E棟13F號,
淡水區,房地(土地+建物)+車位,新北市淡水區港子坪一街,16.23,住,,,1150307,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.13,2,2,2,有,無,10580000,109550,坡道平面,27.15,1380000,,RPUNMLOLLHLGFEF78CB,京美晴朗,A2棟6F號,
淡水區,房地(土地+建物)+車位,新北市淡水區港子坪一街,16.23,住,,,1150303,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.04,2,2,2,有,無,10680000,111098,坡道平面,26.06,1350000,,RPWNMLOLLHLGFEF98CB,京美晴朗,A3棟11F號,
三重區,房地(土地+建物)+車位,新北市三重區仁義街與元信一街,20.44,住,,,1150305,土地1建物1車位1,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.89,3,2,2,有,無,28700000,218648,坡道平面,38.52,2600000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOLLHLGFGF78CB,華固織幸,A棟A6-15號,
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳鳴路386號旁,18.56,住,,,1150302,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.75,2,1,2,有,無,14750000,142223,坡道平面,28.86,2250000,,RPPNMLOLLHLGFIF68CB,合康世紀?,B3棟7F號,
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳鳴路386號旁,18.33,住,,,1150304,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.69,2,2,2,有,無,14350000,138201,坡道平面,28.86,2350000,,RPRNMLOLLHLGFIF88CB,合康世紀?,C2棟7F號,
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳鳴路386號旁,17.61,住,,,1150305,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.74,2,2,2,有,無,14220000,140806,坡道平面,28.86,2550000,,RPSNMLOLLHLGFIF98CB,合康世紀?,A3棟3F號,
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段211巷,21.61,住,,,1150307,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.36,4,2,2,有,無,29930000,172622,坡道平面,26.43,2150000,,RPPNMLPLLHLGFBF08CB,頤昌松玥,B棟2-12號,
